title,location,responsibilities,ntile10,ntile25,ntile50,ntile75,ntile90
Data Scientist,"Oakland, CA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,122167,137064,153426,169497,184129
Data Scientist,"Minneapolis, MN",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,109375,122712,137361,151750,164850
Data Scientist,"Tulsa, OK",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,98493,110503,123694,136652,148449
Data Scientist,"Tampa, FL",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,97713,109628,122715,135569,147273
Data Scientist,"Arlington, TX",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,99870,112048,125423,138562,150523
Data Scientist,"New Orleans, LA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,101558,113941,127543,140903,153067
Data Scientist,"Wichita, KS",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,98863,110918,124159,137164,149006
Data Scientist,"Bakersfield, CA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,109950,123357,138083,152547,165716
Data Scientist,"Cleveland, OH",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,101614,114005,127614,140982,153152
Data Scientist,"Aurora, CO",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,103752,116404,130300,143949,156375
Data Scientist,"Anaheim, CA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,114724,128713,144078,159171,172911
Data Scientist,"Honolulu, HI",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,106419,119395,133648,147648,160394
Data Scientist,"Santa Ana, CA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,114570,128540,143885,158957,172679
Data Scientist,"Riverside, CA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,109827,123219,137928,152376,165531
Data Scientist,"Corpus Christi, TX",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,96358,108107,121013,133689,145230
